符号栈                                                                                                                                                             使用产生式                                                                                                                                                 读入符号                符号栈                                                                                                                                                                                                                                   
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> ) <arithmetic_expression>                                                  null                                                                                                                                                  ID                  ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                   
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> )                                                                          <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               ID                  ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                   
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> ) <arithmetic_expression*>                                                 <term>-><factor><term*>                                                                                                                               ID                  ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                   
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> ) <arithmetic_expression*> <term*>                                         <factor>->ID                                                                                                                                          ID                  ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                   
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> ) <arithmetic_expression*> <term*>                                         null                                                                                                                                                  )                   { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                     
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> ) <arithmetic_expression*>                                                 <term*>->#                                                                                                                                            )                   { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                     
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement> )                                                                          <arithmetic_expression*>->#                                                                                                                           )                   { read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                     
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> <statement>                                                                            null                                                                                                                                                  {                   read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                       
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^>                                                                                        <statement>-><compound_stat>                                                                                                                          {                   read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                       
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^>                                                                                        <compound_stat>->{<statement_list>}                                                                                                                   {                   read a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                       
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> } <statement_list>                                                                     null                                                                                                                                                  read                a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                            
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> }                                                                                      <statement_list>-><statement_list*>                                                                                                                   read                a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                            
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> }                                                                                      <statement_list*>-><statement><statement_list*>                                                                                                       read                a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                            
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> } <statement_list*>                                                                    <statement>-><read_stat>                                                                                                                              read                a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                            
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> } <statement_list*>                                                                    <read_stat>->readID;                                                                                                                                  read                a ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                            
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> } <statement_list*> ; ID                                                               null                                                                                                                                                  ID                  ; } else { write b + 5 ; } write c ; } #                                                                                                                                                                                              
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> } <statement_list*> ;                                                                  null                                                                                                                                                  ;                   } else { write b + 5 ; } write c ; } #                                                                                                                                                                                                
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> } <statement_list*>                                                                    null                                                                                                                                                  }                   else { write b + 5 ; } write c ; } #                                                                                                                                                                                                  
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^> }                                                                                      <statement_list*>->#                                                                                                                                  }                   else { write b + 5 ; } write c ; } #                                                                                                                                                                                                  
# } <statement_list*> } <statement_list*> } <statement_list*> <if_stat^>                                                                                        null                                                                                                                                                  else                { write b + 5 ; } write c ; } #                                                                                                                                                                                                       
# } <statement_list*> } <statement_list*> } <statement_list*>                                                                                                   <if_stat^>->else<statement_list*>                                                                                                                     else                { write b + 5 ; } write c ; } #                                                                                                                                                                                                       
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*>                                                                                 null                                                                                                                                                  {                   write b + 5 ; } write c ; } #                                                                                                                                                                                                         
# } <statement_list*> } <statement_list*> } <statement_list*>                                                                                                   <statement_list*>-><statement><statement_list*>                                                                                                       {                   write b + 5 ; } write c ; } #                                                                                                                                                                                                         
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*>                                                                                 <statement>-><compound_stat>                                                                                                                          {                   write b + 5 ; } write c ; } #                                                                                                                                                                                                         
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*>                                                                                 <compound_stat>->{<statement_list>}                                                                                                                   {                   write b + 5 ; } write c ; } #                                                                                                                                                                                                         
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list>                                                              null                                                                                                                                                  write               b + 5 ; } write c ; } #                                                                                                                                                                                                               
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> }                                                                               <statement_list>-><statement_list*>                                                                                                                   write               b + 5 ; } write c ; } #                                                                                                                                                                                                               
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> }                                                                               <statement_list*>-><statement><statement_list*>                                                                                                       write               b + 5 ; } write c ; } #                                                                                                                                                                                                               
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list*>                                                             <statement>-><write_stat>                                                                                                                             write               b + 5 ; } write c ; } #                                                                                                                                                                                                               
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list*>                                                             <write_stat>->write<arithmetic_expression>;                                                                                                           write               b + 5 ; } write c ; } #                                                                                                                                                                                                               
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list*> ; <arithmetic_expression>                                   null                                                                                                                                                  ID                  + 5 ; } write c ; } #                                                                                                                                                                                                                 
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list*> ;                                                           <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               ID                  + 5 ; } write c ; } #                                                                                                                                                                                                                 
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                  <term>-><factor><term*>                                                                                                                               ID                  + 5 ; } write c ; } #                                                                                                                                                                                                                 
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                          <factor>->ID                                                                                                                                          ID                  + 5 ; } write c ; } #                                                                                                                                                                                                                 
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                          null                                                                                                                                                  +                   5 ; } write c ; } #                                                                                                                                                                                                                   
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                  <term*>->+<factor><term*>                                                                                                                             +                   5 ; } write c ; } #                                                                                                                                                                                                                   
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> <factor>                 null                                                                                                                                                  NUM                 ; } write c ; } #                                                                                                                                                                                                                     
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                          <factor>->NUM                                                                                                                                         NUM                 ; } write c ; } #                                                                                                                                                                                                                     
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                          null                                                                                                                                                  ;                   } write c ; } #                                                                                                                                                                                                                       
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                  <term*>->#                                                                                                                                            ;                   } write c ; } #                                                                                                                                                                                                                       
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list*> ;                                                           <arithmetic_expression*>->#                                                                                                                           ;                   } write c ; } #                                                                                                                                                                                                                       
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> } <statement_list*>                                                             null                                                                                                                                                  }                   write c ; } #                                                                                                                                                                                                                         
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> }                                                                               <statement_list*>->#                                                                                                                                  }                   write c ; } #                                                                                                                                                                                                                         
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*>                                                                                 null                                                                                                                                                  write               c ; } #                                                                                                                                                                                                                               
# } <statement_list*> } <statement_list*> } <statement_list*>                                                                                                   <statement_list*>-><statement><statement_list*>                                                                                                       write               c ; } #                                                                                                                                                                                                                               
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*>                                                                                 <statement>-><write_stat>                                                                                                                             write               c ; } #                                                                                                                                                                                                                               
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*>                                                                                 <write_stat>->write<arithmetic_expression>;                                                                                                           write               c ; } #                                                                                                                                                                                                                               
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> ; <arithmetic_expression>                                                       null                                                                                                                                                  ID                  ; } #                                                                                                                                                                                                                                 
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> ;                                                                               <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               ID                  ; } #                                                                                                                                                                                                                                 
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> ; <arithmetic_expression*>                                                      <term>-><factor><term*>                                                                                                                               ID                  ; } #                                                                                                                                                                                                                                 
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> ; <arithmetic_expression*> <term*>                                              <factor>->ID                                                                                                                                          ID                  ; } #                                                                                                                                                                                                                                 
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> ; <arithmetic_expression*> <term*>                                              null                                                                                                                                                  ;                   } #                                                                                                                                                                                                                                   
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> ; <arithmetic_expression*>                                                      <term*>->#                                                                                                                                            ;                   } #                                                                                                                                                                                                                                   
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*> ;                                                                               <arithmetic_expression*>->#                                                                                                                           ;                   } #                                                                                                                                                                                                                                   
# } <statement_list*> } <statement_list*> } <statement_list*> <statement_list*>                                                                                 null                                                                                                                                                  }                   #                                                                                                                                                                                                                                     
# } <statement_list*> } <statement_list*> } <statement_list*>                                                                                                   <statement_list*>->#                                                                                                                                  }                   #                                                                                                                                                                                                                                     
# } <statement_list*> } <statement_list*> }                                                                                                                     <statement_list*>->#                                                                                                                                  }                   #                                                                                                                                                                                                                                     
# } <statement_list*> } <statement_list*>                                                                                                                       null                                                                                                                                                  #                                                                                                                                                                                                                                                         

Error:  } 没有匹配
Error:  } 没有匹配
